command,mean,stddev,median,user,system,min,max,parameter_i
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-0.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.405743484,0.013971809673290963,0.39909508400000004,0.3759821428571429,0.008214285714285714,0.39391158400000004,0.42520398400000003,0
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-1.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.19891431971428572,0.0064030490588597565,0.19657568400000003,0.17397321428571424,0.011473214285714285,0.194566284,0.218391684,1
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-2.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.44664196733333333,0.016121415763811407,0.43842098400000007,0.39979166666666677,0.014791666666666667,0.432577484,0.47119738400000005,2
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-3.toy -o .\programs\cycles\temp.msgpack -f=message-pack,1.2275089173333333,0.02110090867861697,1.218388484,1.1445833333333333,0.045625,1.212502284,1.251635984,3
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-4.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.06767847084210526,0.007248915772578013,0.065088334,0.0476809210526316,0.008174342105263159,0.063322584,0.104442784,4
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-5.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.014022902260869559,0.000942846624946172,0.013862684,0.003021739130434784,0.005315217391304352,0.012153484000000003,0.018754284000000003,5
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-6.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.19334994400000002,0.010086325656749343,0.18833528400000002,0.16958333333333328,0.006875,0.184519884,0.211220984,6
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-7.toy -o .\programs\cycles\temp.msgpack -f=message-pack,1.4420491506666666,0.01541596380455438,1.4384779840000002,1.37375,0.030416666666666665,1.428732184,1.458937284,7
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-8.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.04333129154716982,0.006709280361927197,0.04081818400000001,0.02619103773584908,0.007959905660377362,0.039670484000000006,0.077349784,8
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-9.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.08748987066666665,0.003759629925178656,0.08576213399999999,0.06541666666666669,0.005791666666666666,0.083335284,0.09619638400000001,9
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-10.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.021885140666666667,0.0011318479249350488,0.021601184000000002,0.0019166666666666668,0.00452777777777778,0.020377584,0.025743884000000005,10
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-11.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.39286934114285715,0.00990124706856956,0.389439684,0.3402678571428571,0.016785714285714286,0.381975084,0.41107148400000004,11
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-12.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.05433818854545455,0.005139637529294941,0.05279823400000001,0.031420454545454564,0.008934659090909096,0.050956084000000006,0.083626684,12
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-13.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.298852784,0.011345922921142216,0.29698398400000003,0.2609027777777778,0.013194444444444444,0.286132584,0.31510138400000004,13
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-14.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.04141346470175439,0.00221442938993633,0.04047538400000001,0.024265350877193,0.011842105263157904,0.03914328400000001,0.04634728400000001,14
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-15.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.24834960218181823,0.010972502944252798,0.243901684,0.22318181818181815,0.009488636363636364,0.23285528400000002,0.265833684,15
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-16.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.11450573663157897,0.009453709531323228,0.11179438400000001,0.09003289473684212,0.013256578947368421,0.106900784,0.147304384,16
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-17.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.018233999624999997,0.0014683572861017265,0.017819984,0.0007486979166666667,0.002858072916666667,0.016428584000000003,0.024883584000000004,17
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-18.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.08453763784615384,0.006170707073082033,0.081104184,0.06365384615384617,0.00673076923076923,0.078852084,0.104409784,18
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-19.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.09013970468965517,0.003919897832704619,0.088210984,0.06556034482758623,0.00995689655172414,0.086074784,0.097259784,19
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-20.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.04917773105882353,0.005841364723078108,0.047524734000000006,0.03183823529411767,0.003382352941176471,0.045998184000000004,0.080070984,20
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-21.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.43485608400000003,0.012456637211061427,0.434923384,0.39458333333333334,0.009791666666666666,0.421417084,0.45077458400000003,21
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-22.toy -o .\programs\cycles\temp.msgpack -f=message-pack,1.1986835506666667,0.021296657366200254,1.200823084,1.139375,0.02,1.176397884,1.218829684,22
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-23.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.10116941733333334,0.006206873427353616,0.098405384,0.08143229166666668,0.007994791666666666,0.095037784,0.11328128400000001,23
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-24.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.0248521891948052,0.004268602133908037,0.023740684,0.0075000000000000075,0.012159090909090921,0.022119084,0.056915184000000014,24
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-25.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.671832709,0.003950034887082247,0.672794384,0.639375,0.01109375,0.666326584,0.6754154840000001,25
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-26.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.02160453051162791,0.0016088580550628541,0.021153134000000004,0.006940406976744193,0.006424418604651168,0.019899384000000003,0.028671184000000006,26
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-27.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.019980061419354846,0.0039032535155645717,0.019241084000000002,0.005114247311827962,0.005141129032258068,0.017686084,0.05113808400000001,27
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-28.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.0699665728888889,0.0035386473852329326,0.068069234,0.05039930555555558,0.007291666666666665,0.065995684,0.079650184,28
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-29.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.08443564262068967,0.0055383432534672865,0.08189318400000001,0.0639439655172414,0.012650862068965523,0.079287884,0.101969684,29
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-30.toy -o .\programs\cycles\temp.msgpack -f=message-pack,7.004139250666667,0.020742430832554917,7.008708684,6.602916666666666,0.201875,6.981493084,7.022215984,30
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-31.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.19516199169230772,0.01031443119602026,0.189746584,0.16221153846153846,0.018269230769230767,0.183530084,0.209283084,31
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-32.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.15972881929411764,0.00564969911554381,0.15913238400000002,0.12926470588235292,0.010367647058823528,0.153059684,0.173477184,32
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-33.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.20547619169230769,0.014441699222994363,0.19958008400000002,0.1694230769230769,0.012451923076923076,0.193394284,0.24523028400000002,33
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-34.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.5463976840000001,0.015496150792051562,0.5438016840000001,0.5018750000000001,0.026875,0.530353584,0.5654213840000001,34
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-35.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.022805217802816902,0.0017510123720655892,0.022395084000000003,0.002852112676056338,0.004507042253521128,0.020999784,0.034871584000000004,35
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-36.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.031831419087719304,0.002391630494296072,0.031114584000000004,0.01526315789473686,0.003826754385964912,0.029449584000000004,0.044498284000000006,36
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-37.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.3448961340000001,0.007905613766540469,0.342312434,0.3034375,0.0071875,0.33595988400000004,0.357274184,37
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-38.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.365380584,0.016270173313151892,0.367325834,0.309296875,0.0221875,0.34690538400000004,0.386866084,38
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-39.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.1988969673333333,0.015264949987163602,0.197707234,0.16411458333333334,0.010885416666666667,0.179320684,0.23757898400000002,39
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-40.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.42593965066666667,0.028636602655110234,0.41783833400000003,0.3503125,0.03,0.398702284,0.479130484,40
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-41.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.0167530883956044,0.0046461824867282675,0.015666284000000003,0.001421703296703297,0.003804945054945057,0.013454384,0.054641984000000005,41
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-42.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.03380225634042553,0.004073015685112792,0.032813784000000006,0.01453457446808512,0.005531914893617021,0.029916784000000005,0.056452884,42
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-43.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.3188456465,0.015665819561155397,0.314432634,0.262421875,0.016796875,0.304986084,0.35153868400000005,43
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-44.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.24286332036363634,0.007355728901648399,0.244811084,0.21039772727272724,0.007954545454545454,0.231494484,0.25111468400000003,44
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-45.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.0502256328888889,0.004144065557880341,0.04831578400000001,0.029305555555555578,0.004791666666666667,0.04696698400000001,0.064772184,45
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-46.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.025479518285714292,0.0038048635302379776,0.024499684000000004,0.007000000000000006,0.011866071428571441,0.023066684,0.04978978400000001,46
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-47.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.023397598285714288,0.001958126076701071,0.022942284,0.0029107142857142856,0.006008928571428575,0.021334384,0.035513684000000004,47
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-48.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.06546809481081083,0.004831164360217464,0.063414284,0.04520270270270273,0.004307432432432432,0.062018884,0.085817484,48
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-49.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.016663244465116276,0.003621598739792368,0.015833334,0.00033430232558139537,0.002674418604651163,0.014458884000000002,0.04556538400000001,49
.\target\release\toy.exe find-cycles .\programs\random-2-10-2-depth-4\random-2-10-2-50.toy -o .\programs\cycles\temp.msgpack -f=message-pack,0.014437168444444443,0.0014836802575762744,0.014234834000000002,0.0020902777777777777,0.003034722222222223,0.013009084,0.025878784000000005,50
